algorithm;timed out;problem instance;average probability of being unavailable at any given time slot;constraint violation cost;formulation;maximum random cost of being unavailable at any given time slot;number of agents;number of agents per meeting;number of meetings;number of time slots;target probability of being unavailable at any given time slot;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
P-DPOP;0;randomMeetingScheduling_1548911387575;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;2049;5422;188484;88382;4;0;0
DPOP;0;randomMeetingScheduling_1548911393757;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911393757;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;39;905;16245;811;1;0;0
DPOP;0;randomMeetingScheduling_1548911394472;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;33;16;4012;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911394472;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;46;1810;32438;810;1;0;0
DPOP;0;randomMeetingScheduling_1548911395184;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;34;24;7538;1234;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911395184;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;59;2715;53766;2533;2;0;0
DPOP;0;randomMeetingScheduling_1548911395978;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;61;25;18324;6587;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911395978;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;133;3616;74403;11586;3;0;0
DPOP;0;randomMeetingScheduling_1548911396969;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;91;24;48319;42468;4;0;0
P-DPOP;0;randomMeetingScheduling_1548911396969;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;880;4523;253581;110685;4;0;0
DPOP;0;randomMeetingScheduling_1548911398956;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;54;24;15178;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911398956;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;19751;5422;110402;11611;3;0;0
DPOP;0;randomMeetingScheduling_1548911419706;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911419706;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;38;905;16231;814;1;0;0
DPOP;0;randomMeetingScheduling_1548911420434;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;26;16;4016;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911420434;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;52;1810;32604;810;1;0;0
DPOP;0;randomMeetingScheduling_1548911421126;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;39;24;7542;1232;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911421126;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;72;2715;53557;2540;2;0;0
DPOP;0;randomMeetingScheduling_1548911421939;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;35;20;5860;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911421939;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;141;3616;63756;2334;2;0;0
DPOP;0;randomMeetingScheduling_1548911422906;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;65;22;10518;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911422906;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1067;4523;3838983;3663415;6;0;0
DPOP;0;randomMeetingScheduling_1548911425143;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;243;26;325434;314891;5;0;0
P-DPOP;0;randomMeetingScheduling_1548911425143;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;3631;5428;6601358;5701914;6;0;0
DPOP;0;randomMeetingScheduling_1548911432848;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911432848;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;39;905;16199;813;1;0;0
DPOP;0;randomMeetingScheduling_1548911433490;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;35;13;3531;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911433490;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;53;1808;31829;2338;2;0;0
DPOP;0;randomMeetingScheduling_1548911434202;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;35;24;7538;1234;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911434202;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;67;2713;50962;2528;2;0;0
DPOP;0;randomMeetingScheduling_1548911434985;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;51;22;12297;6587;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911434985;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;128;3616;77035;14408;3;0;0
DPOP;0;randomMeetingScheduling_1548911436009;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;84;22;38452;34404;4;0;0
P-DPOP;0;randomMeetingScheduling_1548911436009;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1255;4523;239185;99468;4;0;0
DPOP;0;randomMeetingScheduling_1548911438417;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;246;26;325436;314893;5;0;0
P-DPOP;0;randomMeetingScheduling_1548911438417;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;2942;5424;168753;63190;4;0;0
DPOP;0;randomMeetingScheduling_1548911444924;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911444924;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;39;905;16251;809;1;0;0
DPOP;0;randomMeetingScheduling_1548911445542;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;27;16;4016;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911445542;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;46;1810;32410;811;1;0;0
DPOP;0;randomMeetingScheduling_1548911446222;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;33;18;4934;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911446222;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;67;2713;48039;2333;2;0;0
DPOP;0;randomMeetingScheduling_1548911447048;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;36;20;9600;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911447048;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;224;3616;71444;11569;3;0;0
DPOP;0;randomMeetingScheduling_1548911448070;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;114;36;55269;42468;4;0;0
P-DPOP;0;randomMeetingScheduling_1548911448070;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1169;4521;250653;110682;4;0;0
DPOP;0;randomMeetingScheduling_1548911450311;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;63;24;15178;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911450311;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;52973;5426;5295910;5074607;6;0;0
DPOP;0;randomMeetingScheduling_1548911504768;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;29;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911504768;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;40;905;16075;811;1;0;0
DPOP;0;randomMeetingScheduling_1548911505405;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;28;16;4014;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911505405;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;45;1810;32504;812;1;0;0
DPOP;0;randomMeetingScheduling_1548911506096;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;27;18;4940;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911506096;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;56;2713;48264;2324;2;0;0
DPOP;0;randomMeetingScheduling_1548911506903;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;59;20;9594;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911506903;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;314;3618;758205;634888;5;0;0
DPOP;0;randomMeetingScheduling_1548911508180;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;73;24;56456;46050;4;0;0
P-DPOP;0;randomMeetingScheduling_1548911508180;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;321;4519;100394;14410;3;0;0
DPOP;0;randomMeetingScheduling_1548911509651;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;176;24;222312;218125;5;0;0
P-DPOP;1;randomMeetingScheduling_1548911509651;0.0;infinity;PEAV;null;3;2;6;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1548911574062;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;26;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911574062;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;37;905;16211;809;1;0;0
DPOP;0;randomMeetingScheduling_1548911574759;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;26;16;4012;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911574759;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;48;1810;32274;813;1;0;0
DPOP;0;randomMeetingScheduling_1548911575483;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;31;18;4938;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911575483;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;76;2715;72249;14312;3;0;0
DPOP;0;randomMeetingScheduling_1548911576282;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;42;20;9600;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911576282;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;128;3618;74151;11520;3;0;0
DPOP;0;randomMeetingScheduling_1548911577277;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;109;29;46351;34404;4;0;0
P-DPOP;0;randomMeetingScheduling_1548911577277;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;928;4521;5215038;5074616;6;0;0
DPOP;0;randomMeetingScheduling_1548911579744;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;289;26;354171;314891;5;0;0
P-DPOP;0;randomMeetingScheduling_1548911579744;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;39988;5424;274338;110681;4;0;0
DPOP;0;randomMeetingScheduling_1548911624285;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911624285;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;43;905;16273;810;1;0;0
DPOP;0;randomMeetingScheduling_1548911624967;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;32;16;4016;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911624967;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;47;1810;32524;812;1;0;0
DPOP;0;randomMeetingScheduling_1548911625707;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;55;15;8253;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911625707;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;150;2713;155205;99483;4;0;0
DPOP;0;randomMeetingScheduling_1548911626645;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;37;20;5858;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911626645;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;221;3618;261155;110686;4;0;0
DPOP;0;randomMeetingScheduling_1548911627788;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;138;29;49083;42468;4;0;0
P-DPOP;0;randomMeetingScheduling_1548911627788;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1121;4525;4461951;4133815;6;0;0
DPOP;0;randomMeetingScheduling_1548911630285;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;93;24;39372;34404;4;0;0
P-DPOP;1;randomMeetingScheduling_1548911630285;0.0;infinity;PEAV;null;3;2;6;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1548911762800;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;24;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911762800;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;37;905;16101;814;1;0;0
DPOP;0;randomMeetingScheduling_1548911763433;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;33;16;4012;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911763433;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;50;1810;32422;813;1;0;0
DPOP;0;randomMeetingScheduling_1548911764143;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;29;18;4934;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911764143;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;61;2713;48287;2338;2;0;0
DPOP;0;randomMeetingScheduling_1548911764957;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;37;20;5860;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911764957;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;145;3618;213298;88284;4;0;0
DPOP;0;randomMeetingScheduling_1548911765911;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;59;22;10514;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911765911;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;430;4519;87089;11618;3;0;0
DPOP;0;randomMeetingScheduling_1548911767222;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;232;33;259011;218125;5;0;0
P-DPOP;0;randomMeetingScheduling_1548911767222;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;19475;5422;591121;500579;5;0;0
DPOP;0;randomMeetingScheduling_1548911789194;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911789194;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;38;905;16131;814;1;0;0
DPOP;0;randomMeetingScheduling_1548911789808;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;36;13;3527;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911789808;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;54;1808;31893;2332;2;0;0
DPOP;0;randomMeetingScheduling_1548911790525;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;33;18;4938;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911790525;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;65;2713;47986;2338;2;0;0
