algorithm;timed out;problem instance;equilibrium type;margin of error;number of disconnected components of the party graph;number of players;party graph average density;party graph max degree;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;partyProblem_1548913905981;pure Nash;0.0;1;5;0.4;3;0;37;40;8608;450;2;0;0
P-DPOP;0;partyProblem_1548913905981;pure Nash;0.0;1;5;0.4;3;0;60;7234;119666;790;4;0;0
DPOP;0;partyProblem_1548913907131;pure Nash;0.0;1;6;0.3333333333333333;3;0;38;50;10774;450;2;0;0
P-DPOP;0;partyProblem_1548913907131;pure Nash;0.0;1;6;0.3333333333333333;3;0;61;9040;147879;642;2;0;0
DPOP;0;partyProblem_1548913908321;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;64;13555;450;3;infinity;infinity
P-DPOP;0;partyProblem_1548913908321;pure Nash;0.0;1;7;0.2857142857142857;3;0;64;10852;180077;790;4;infinity;infinity
DPOP;0;partyProblem_1548913909715;pure Nash;0.0;1;2;1.0;1;0;33;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913909715;pure Nash;0.0;1;2;1.0;1;0;42;1810;30295;538;2;0;0
DPOP;0;partyProblem_1548913910413;pure Nash;0.0;1;3;0.6666666666666666;2;0;31;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913910413;pure Nash;0.0;1;3;0.6666666666666666;2;0;51;3618;60274;642;3;0;0
DPOP;0;partyProblem_1548913911253;pure Nash;0.0;1;4;0.5;2;0;40;30;6466;450;2;0;0
P-DPOP;0;partyProblem_1548913911253;pure Nash;0.0;1;4;0.5;2;0;49;5428;90491;654;3;0;0
DPOP;0;partyProblem_1548913912175;pure Nash;0.0;1;5;0.4;3;0;34;40;8616;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913912175;pure Nash;0.0;1;5;0.4;3;0;55;7234;119228;642;4;infinity;infinity
DPOP;0;partyProblem_1548913913269;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;51;10808;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913913269;pure Nash;0.0;1;6;0.3333333333333333;3;0;64;9042;148605;641;3;infinity;infinity
DPOP;0;partyProblem_1548913914387;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13389;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913914387;pure Nash;0.0;1;7;0.2857142857142857;3;0;69;10854;180366;690;4;infinity;infinity
DPOP;0;partyProblem_1548913915617;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913915617;pure Nash;0.0;1;2;1.0;1;0;45;1808;29528;642;2;0;0
DPOP;0;partyProblem_1548913916301;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913916301;pure Nash;0.0;1;3;0.6666666666666666;2;0;51;3618;59958;642;2;infinity;infinity
DPOP;0;partyProblem_1548913917142;pure Nash;0.0;1;4;0.5;2;0;29;30;6468;450;2;0;0
P-DPOP;0;partyProblem_1548913917142;pure Nash;0.0;1;4;0.5;2;0;51;5428;90465;642;3;0;0
DPOP;0;partyProblem_1548913918098;pure Nash;0.0;1;5;0.4;3;0;38;40;8608;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913918098;pure Nash;0.0;1;5;0.4;3;0;64;7236;119891;642;4;infinity;infinity
DPOP;0;partyProblem_1548913919301;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;50;10754;450;2;0;0
P-DPOP;0;partyProblem_1548913919301;pure Nash;0.0;1;6;0.3333333333333333;3;0;65;9044;150317;690;4;0;0
DPOP;0;partyProblem_1548913920412;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;63;13407;450;2;0;0
P-DPOP;0;partyProblem_1548913920412;pure Nash;0.0;1;7;0.2857142857142857;3;0;65;10848;177590;667;2;0;0
DPOP;0;partyProblem_1548913921650;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913921650;pure Nash;0.0;1;2;1.0;1;0;44;1808;29599;642;2;0;0
DPOP;0;partyProblem_1548913922333;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913922333;pure Nash;0.0;1;3;0.6666666666666666;2;0;49;3620;61067;690;4;0;0
DPOP;0;partyProblem_1548913923169;pure Nash;0.0;1;4;0.5;2;0;31;30;6450;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913923169;pure Nash;0.0;1;4;0.5;2;0;48;5424;88507;642;2;infinity;infinity
DPOP;0;partyProblem_1548913924069;pure Nash;0.0;1;5;0.4;3;0;35;40;8624;450;2;0;0
P-DPOP;0;partyProblem_1548913924069;pure Nash;0.0;1;5;0.4;3;0;63;7234;119378;690;4;0;0
DPOP;0;partyProblem_1548913925178;pure Nash;0.0;1;6;0.3333333333333333;3;0;36;50;10782;450;2;0;0
P-DPOP;0;partyProblem_1548913925178;pure Nash;0.0;1;6;0.3333333333333333;3;0;58;9046;152378;1272;6;0;0
DPOP;0;partyProblem_1548913926355;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;64;13587;450;3;0;0
P-DPOP;0;partyProblem_1548913926355;pure Nash;0.0;1;7;0.2857142857142857;3;0;57;10852;180204;1247;6;0;0
DPOP;0;partyProblem_1548913927619;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913927619;pure Nash;0.0;1;2;1.0;1;0;43;1808;29503;642;2;0;0
DPOP;0;partyProblem_1548913928345;pure Nash;0.0;1;3;0.6666666666666666;2;0;26;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913928345;pure Nash;0.0;1;3;0.6666666666666666;2;0;57;3620;60802;629;3;0;0
DPOP;0;partyProblem_1548913929155;pure Nash;0.0;1;4;0.5;2;0;37;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913929155;pure Nash;0.0;1;4;0.5;2;0;59;5428;90758;642;3;0;0
DPOP;0;partyProblem_1548913930139;pure Nash;0.0;1;5;0.4;3;0;35;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913930139;pure Nash;0.0;1;5;0.4;3;0;55;7234;120081;1071;6;0;0
DPOP;0;partyProblem_1548913931247;pure Nash;0.0;1;6;0.3333333333333333;3;0;30;51;10806;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913931247;pure Nash;0.0;1;6;0.3333333333333333;3;0;64;9044;149256;642;3;infinity;infinity
DPOP;0;partyProblem_1548913932484;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;64;13585;450;3;infinity;infinity
P-DPOP;0;partyProblem_1548913932484;pure Nash;0.0;1;7;0.2857142857142857;3;0;71;10852;179237;642;4;infinity;infinity
DPOP;0;partyProblem_1548913933708;pure Nash;0.0;1;2;1.0;1;0;29;13;2605;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548913933708;pure Nash;0.0;1;2;1.0;1;0;48;1810;30358;538;2;infinity;infinity
DPOP;0;partyProblem_1548913934407;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913934407;pure Nash;0.0;1;3;0.6666666666666666;2;0;49;3620;60797;629;3;infinity;infinity
DPOP;0;partyProblem_1548913935255;pure Nash;0.0;1;4;0.5;2;0;29;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913935255;pure Nash;0.0;1;4;0.5;2;0;57;5426;89650;642;3;0;0
DPOP;0;partyProblem_1548913936206;pure Nash;0.0;1;5;0.4;3;0;30;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548913936206;pure Nash;0.0;1;5;0.4;3;0;52;7234;119033;642;3;0;0
DPOP;0;partyProblem_1548913937227;pure Nash;0.0;1;6;0.3333333333333333;3;0;36;50;10778;450;2;0;0
P-DPOP;0;partyProblem_1548913937227;pure Nash;0.0;1;6;0.3333333333333333;3;0;62;9044;149732;642;3;0;0
DPOP;0;partyProblem_1548913938459;pure Nash;0.0;1;7;0.2857142857142857;3;0;38;63;13413;450;2;0;0
P-DPOP;0;partyProblem_1548913938459;pure Nash;0.0;1;7;0.2857142857142857;3;0;75;10854;181661;1072;6;0;0
DPOP;0;partyProblem_1548913939741;pure Nash;0.0;1;2;1.0;1;0;31;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913939741;pure Nash;0.0;1;2;1.0;1;0;44;1808;29518;642;2;0;0
DPOP;0;partyProblem_1548913940497;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913940497;pure Nash;0.0;1;3;0.6666666666666666;2;0;61;3618;60005;641;3;0;0
DPOP;0;partyProblem_1548913941322;pure Nash;0.0;1;4;0.5;2;0;31;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913941322;pure Nash;0.0;1;4;0.5;2;0;51;5426;89565;641;2;0;0
DPOP;0;partyProblem_1548913942240;pure Nash;0.0;1;5;0.4;3;0;35;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913942240;pure Nash;0.0;1;5;0.4;3;0;60;7232;118579;667;2;0;0
DPOP;0;partyProblem_1548913943333;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;51;10840;450;2;0;0
P-DPOP;0;partyProblem_1548913943333;pure Nash;0.0;1;6;0.3333333333333333;3;0;53;9046;152441;1272;6;0;0
DPOP;0;partyProblem_1548913944420;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13417;450;2;0;0
P-DPOP;0;partyProblem_1548913944420;pure Nash;0.0;1;7;0.2857142857142857;3;0;61;10850;178563;689;4;0;0
DPOP;0;partyProblem_1548913945582;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913945582;pure Nash;0.0;1;2;1.0;1;0;49;1808;29509;642;2;0;0
DPOP;0;partyProblem_1548913946286;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913946286;pure Nash;0.0;1;3;0.6666666666666666;2;0;51;3616;58878;642;2;0;0
DPOP;0;partyProblem_1548913947126;pure Nash;0.0;1;4;0.5;2;0;33;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913947126;pure Nash;0.0;1;4;0.5;2;0;51;5426;89777;689;4;0;0
DPOP;0;partyProblem_1548913948045;pure Nash;0.0;1;5;0.4;3;0;31;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548913948045;pure Nash;0.0;1;5;0.4;3;0;54;7234;119246;690;4;0;0
DPOP;0;partyProblem_1548913949118;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;50;10782;450;2;0;0
P-DPOP;0;partyProblem_1548913949118;pure Nash;0.0;1;6;0.3333333333333333;3;0;68;9046;151138;840;4;0;0
DPOP;0;partyProblem_1548913950219;pure Nash;0.0;1;7;0.2857142857142857;3;0;41;63;13421;450;2;0;0
P-DPOP;0;partyProblem_1548913950219;pure Nash;0.0;1;7;0.2857142857142857;3;0;76;10854;181810;1072;6;0;0
DPOP;0;partyProblem_1548913951543;pure Nash;0.0;1;2;1.0;1;0;31;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913951543;pure Nash;0.0;1;2;1.0;1;0;49;1808;29584;642;2;0;0
DPOP;0;partyProblem_1548913952249;pure Nash;0.0;1;3;0.6666666666666666;2;0;30;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913952249;pure Nash;0.0;1;3;0.6666666666666666;2;0;51;3618;60052;642;3;0;0
DPOP;0;partyProblem_1548913953096;pure Nash;0.0;1;4;0.5;2;0;29;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913953096;pure Nash;0.0;1;4;0.5;2;0;48;5424;88573;666;2;0;0
DPOP;0;partyProblem_1548913954059;pure Nash;0.0;1;5;0.4;3;0;35;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913954059;pure Nash;0.0;1;5;0.4;3;0;67;7236;122228;1612;7;0;0
DPOP;0;partyProblem_1548913955178;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;51;10808;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913955178;pure Nash;0.0;1;6;0.3333333333333333;3;0;58;9042;148833;689;4;infinity;infinity
DPOP;0;partyProblem_1548913956272;pure Nash;0.0;1;7;0.2857142857142857;3;0;38;63;13421;450;2;0;0
P-DPOP;0;partyProblem_1548913956272;pure Nash;0.0;1;7;0.2857142857142857;3;0;61;10848;177302;642;2;0;0
DPOP;0;partyProblem_1548913957601;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913957601;pure Nash;0.0;1;2;1.0;1;0;45;1808;29474;642;2;0;0
DPOP;0;partyProblem_1548913958306;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913958306;pure Nash;0.0;1;3;0.6666666666666666;2;0;48;3616;58898;642;2;0;0
DPOP;0;partyProblem_1548913959122;pure Nash;0.0;1;4;0.5;2;0;36;30;6450;450;2;0;0
P-DPOP;0;partyProblem_1548913959122;pure Nash;0.0;1;4;0.5;2;0;48;5428;90616;641;3;0;0
DPOP;0;partyProblem_1548913960025;pure Nash;0.0;1;5;0.4;3;0;31;40;8606;450;2;0;0
P-DPOP;0;partyProblem_1548913960025;pure Nash;0.0;1;5;0.4;3;0;69;7236;120936;972;6;0;0
DPOP;0;partyProblem_1548913961104;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;51;10826;450;2;0;0
P-DPOP;0;partyProblem_1548913961104;pure Nash;0.0;1;6;0.3333333333333333;3;0;72;9044;150510;790;4;0;0
DPOP;0;partyProblem_1548913962349;pure Nash;0.0;1;7;0.2857142857142857;3;0;31;63;13425;450;2;0;0
P-DPOP;0;partyProblem_1548913962349;pure Nash;0.0;1;7;0.2857142857142857;3;0;53;10852;181476;1371;6;0;0
DPOP;0;partyProblem_1548913963530;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913963530;pure Nash;0.0;1;2;1.0;1;0;42;1810;30328;538;2;0;0
DPOP;0;partyProblem_1548913964215;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913964215;pure Nash;0.0;1;3;0.6666666666666666;2;0;46;3618;60038;642;3;0;0
DPOP;0;partyProblem_1548913965025;pure Nash;0.0;1;4;0.5;2;0;31;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913965025;pure Nash;0.0;1;4;0.5;2;0;57;5426;89468;690;4;0;0
DPOP;0;partyProblem_1548913965936;pure Nash;0.0;1;5;0.4;3;0;43;40;8608;450;2;0;0
P-DPOP;0;partyProblem_1548913965936;pure Nash;0.0;1;5;0.4;3;0;54;7236;120938;1072;6;0;0
DPOP;0;partyProblem_1548913967093;pure Nash;0.0;1;6;0.3333333333333333;3;0;35;50;10774;450;2;0;0
P-DPOP;0;partyProblem_1548913967093;pure Nash;0.0;1;6;0.3333333333333333;3;0;57;9046;150751;790;4;0;0
DPOP;0;partyProblem_1548913968248;pure Nash;0.0;1;7;0.2857142857142857;3;0;34;64;13603;450;3;0;0
P-DPOP;0;partyProblem_1548913968248;pure Nash;0.0;1;7;0.2857142857142857;3;0;59;10852;180718;1071;6;0;0
DPOP;0;partyProblem_1548913969588;pure Nash;0.0;1;2;1.0;1;0;29;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548913969588;pure Nash;0.0;1;2;1.0;1;0;44;1808;29465;642;2;0;0
DPOP;0;partyProblem_1548913970267;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913970267;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3618;60115;642;3;0;0
DPOP;0;partyProblem_1548913971085;pure Nash;0.0;1;4;0.5;2;0;36;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913971085;pure Nash;0.0;1;4;0.5;2;0;59;5428;90366;641;3;0;0
DPOP;0;partyProblem_1548913972010;pure Nash;0.0;1;5;0.4;3;0;45;40;8612;450;2;0;0
P-DPOP;0;partyProblem_1548913972010;pure Nash;0.0;1;5;0.4;3;0;54;7232;118036;642;2;0;0
DPOP;0;partyProblem_1548913973110;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10766;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913973110;pure Nash;0.0;1;6;0.3333333333333333;3;0;63;9048;154109;1272;6;infinity;infinity
DPOP;0;partyProblem_1548913974179;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13409;450;2;0;0
P-DPOP;0;partyProblem_1548913974179;pure Nash;0.0;1;7;0.2857142857142857;3;0;54;10852;180459;790;4;0;0
DPOP;0;partyProblem_1548913975378;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913975378;pure Nash;0.0;1;2;1.0;1;0;45;1808;29529;642;2;0;0
DPOP;0;partyProblem_1548913976060;pure Nash;0.0;1;3;0.6666666666666666;2;0;30;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913976060;pure Nash;0.0;1;3;0.6666666666666666;2;0;61;3620;61129;628;3;0;0
DPOP;0;partyProblem_1548913976960;pure Nash;0.0;1;4;0.5;2;0;31;30;6450;450;2;0;0
P-DPOP;0;partyProblem_1548913976960;pure Nash;0.0;1;4;0.5;2;0;50;5426;89701;642;3;0;0
DPOP;0;partyProblem_1548913977878;pure Nash;0.0;1;5;0.4;3;0;35;40;8608;450;2;0;0
P-DPOP;0;partyProblem_1548913977878;pure Nash;0.0;1;5;0.4;3;0;71;7234;119113;642;3;0;0
DPOP;0;partyProblem_1548913979018;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10784;450;2;0;0
P-DPOP;0;partyProblem_1548913979018;pure Nash;0.0;1;6;0.3333333333333333;3;0;56;9044;149902;690;4;0;0
DPOP;0;partyProblem_1548913980114;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;64;13601;450;3;0;0
P-DPOP;0;partyProblem_1548913980114;pure Nash;0.0;1;7;0.2857142857142857;3;0;59;10858;183786;940;5;0;0
DPOP;0;partyProblem_1548913981435;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913981435;pure Nash;0.0;1;2;1.0;1;0;43;1810;30299;538;2;0;0
DPOP;0;partyProblem_1548913982133;pure Nash;0.0;1;3;0.6666666666666666;2;0;26;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913982133;pure Nash;0.0;1;3;0.6666666666666666;2;0;59;3618;60316;689;4;0;0
DPOP;0;partyProblem_1548913982979;pure Nash;0.0;1;4;0.5;2;0;32;30;6450;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913982979;pure Nash;0.0;1;4;0.5;2;0;54;5426;89570;641;3;infinity;infinity
DPOP;0;partyProblem_1548913983912;pure Nash;0.0;1;5;0.4;3;0;35;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548913983912;pure Nash;0.0;1;5;0.4;3;0;52;7236;119704;642;3;0;0
DPOP;0;partyProblem_1548913984936;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;51;10848;450;2;0;0
P-DPOP;0;partyProblem_1548913984936;pure Nash;0.0;1;6;0.3333333333333333;3;0;60;9044;150044;815;4;0;0
DPOP;0;partyProblem_1548913986115;pure Nash;0.0;1;7;0.2857142857142857;3;0;34;63;13405;450;2;0;0
P-DPOP;0;partyProblem_1548913986115;pure Nash;0.0;1;7;0.2857142857142857;3;0;71;10852;179092;789;4;0;0
DPOP;0;partyProblem_1548913987330;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913987330;pure Nash;0.0;1;2;1.0;1;0;44;1808;29471;641;2;0;0
DPOP;0;partyProblem_1548913988017;pure Nash;0.0;1;3;0.6666666666666666;2;0;29;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913988017;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3620;61073;689;4;0;0
DPOP;0;partyProblem_1548913988813;pure Nash;0.0;1;4;0.5;2;0;32;30;6468;450;2;0;0
P-DPOP;0;partyProblem_1548913988813;pure Nash;0.0;1;4;0.5;2;0;59;5426;89402;642;2;0;0
DPOP;0;partyProblem_1548913989734;pure Nash;0.0;1;5;0.4;3;0;35;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548913989734;pure Nash;0.0;1;5;0.4;3;0;53;7234;119021;667;3;0;0
DPOP;0;partyProblem_1548913990797;pure Nash;0.0;1;6;0.3333333333333333;3;0;38;50;10768;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913990797;pure Nash;0.0;1;6;0.3333333333333333;3;0;65;9046;152805;1272;6;infinity;infinity
DPOP;0;partyProblem_1548913992032;pure Nash;0.0;1;7;0.2857142857142857;3;0;40;64;13601;450;3;0;0
P-DPOP;0;partyProblem_1548913992032;pure Nash;0.0;1;7;0.2857142857142857;3;0;59;10852;179667;790;4;0;0
DPOP;0;partyProblem_1548913993302;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913993302;pure Nash;0.0;1;2;1.0;1;0;47;1810;30369;538;2;0;0
DPOP;0;partyProblem_1548913994005;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913994005;pure Nash;0.0;1;3;0.6666666666666666;2;0;49;3616;59104;667;2;0;0
DPOP;0;partyProblem_1548913994812;pure Nash;0.0;1;4;0.5;2;0;32;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913994812;pure Nash;0.0;1;4;0.5;2;0;57;5428;91635;891;5;0;0
DPOP;0;partyProblem_1548913995718;pure Nash;0.0;1;5;0.4;3;0;36;40;8616;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913995718;pure Nash;0.0;1;5;0.4;3;0;57;7232;118263;642;2;infinity;infinity
DPOP;0;partyProblem_1548913996829;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;50;10776;450;2;0;0
P-DPOP;0;partyProblem_1548913996829;pure Nash;0.0;1;6;0.3333333333333333;3;0;53;9048;152669;890;5;0;0
DPOP;0;partyProblem_1548913997927;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13413;450;2;0;0
P-DPOP;0;partyProblem_1548913997927;pure Nash;0.0;1;7;0.2857142857142857;3;0;70;10854;184600;2672;8;0;0
DPOP;0;partyProblem_1548913999218;pure Nash;0.0;1;2;1.0;1;0;31;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913999218;pure Nash;0.0;1;2;1.0;1;0;46;1808;29563;642;2;0;0
DPOP;0;partyProblem_1548913999953;pure Nash;0.0;1;3;0.6666666666666666;2;0;31;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913999953;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3618;60176;642;3;0;0
DPOP;0;partyProblem_1548914000833;pure Nash;0.0;1;4;0.5;2;0;34;30;6468;450;2;0;0
P-DPOP;0;partyProblem_1548914000833;pure Nash;0.0;1;4;0.5;2;0;51;5426;89917;765;4;0;0
DPOP;0;partyProblem_1548914001796;pure Nash;0.0;1;5;0.4;3;0;35;40;8624;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914001796;pure Nash;0.0;1;5;0.4;3;0;58;7236;120420;840;4;infinity;infinity
DPOP;0;partyProblem_1548914002892;pure Nash;0.0;1;6;0.3333333333333333;3;0;37;50;10774;450;2;0;0
P-DPOP;0;partyProblem_1548914002892;pure Nash;0.0;1;6;0.3333333333333333;3;0;54;9042;148575;692;3;0;0
DPOP;0;partyProblem_1548914004149;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13413;450;2;0;0
P-DPOP;0;partyProblem_1548914004149;pure Nash;0.0;1;7;0.2857142857142857;3;0;56;10854;181231;1072;6;0;0
DPOP;0;partyProblem_1548914005373;pure Nash;0.0;1;2;1.0;1;0;32;13;2605;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548914005373;pure Nash;0.0;1;2;1.0;1;0;43;1810;30369;538;2;infinity;infinity
DPOP;0;partyProblem_1548914006068;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914006068;pure Nash;0.0;1;3;0.6666666666666666;2;0;53;3620;60937;629;3;0;0
DPOP;0;partyProblem_1548914006884;pure Nash;0.0;1;4;0.5;2;0;29;30;6452;450;2;0;0
P-DPOP;0;partyProblem_1548914006884;pure Nash;0.0;1;4;0.5;2;0;47;5426;89316;642;2;0;0
DPOP;0;partyProblem_1548914007756;pure Nash;0.0;1;5;0.4;3;0;31;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548914007756;pure Nash;0.0;1;5;0.4;3;0;58;7234;118968;642;3;0;0
DPOP;0;partyProblem_1548914008767;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10756;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914008767;pure Nash;0.0;1;6;0.3333333333333333;3;0;53;9042;148871;642;2;infinity;infinity
DPOP;0;partyProblem_1548914009892;pure Nash;0.0;1;7;0.2857142857142857;3;0;38;64;13619;450;3;0;0
P-DPOP;0;partyProblem_1548914009892;pure Nash;0.0;1;7;0.2857142857142857;3;0;59;10854;180806;790;4;0;0
DPOP;0;partyProblem_1548914011162;pure Nash;0.0;1;2;1.0;1;0;30;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548914011162;pure Nash;0.0;1;2;1.0;1;0;43;1808;29478;642;2;0;0
DPOP;0;partyProblem_1548914011852;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914011852;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3618;60063;641;3;infinity;infinity
DPOP;0;partyProblem_1548914012700;pure Nash;0.0;1;4;0.5;2;0;30;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548914012700;pure Nash;0.0;1;4;0.5;2;0;55;5424;88420;642;2;0;0
DPOP;0;partyProblem_1548914013650;pure Nash;0.0;1;5;0.4;3;0;43;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548914013650;pure Nash;0.0;1;5;0.4;3;0;62;7236;120550;690;4;0;0
DPOP;0;partyProblem_1548914014733;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10784;450;2;0;0
P-DPOP;0;partyProblem_1548914014733;pure Nash;0.0;1;6;0.3333333333333333;3;0;56;9040;147991;667;2;0;0
DPOP;0;partyProblem_1548914015937;pure Nash;0.0;1;7;0.2857142857142857;3;0;36;64;13603;450;3;0;0
P-DPOP;0;partyProblem_1548914015937;pure Nash;0.0;1;7;0.2857142857142857;3;0;70;10848;177258;692;2;0;0
DPOP;0;partyProblem_1548914017204;pure Nash;0.0;1;2;1.0;1;0;29;13;2605;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548914017204;pure Nash;0.0;1;2;1.0;1;0;47;1808;29498;642;2;infinity;infinity
DPOP;0;partyProblem_1548914017894;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4302;450;2;0;0
P-DPOP;0;partyProblem_1548914017894;pure Nash;0.0;1;3;0.6666666666666666;2;0;59;3618;60126;642;3;0;0
DPOP;0;partyProblem_1548914018719;pure Nash;0.0;1;4;0.5;2;0;33;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548914018719;pure Nash;0.0;1;4;0.5;2;0;68;5428;90976;642;3;0;0
