algorithm;timed out;problem instance;equilibrium type;margin of error;number of disconnected components of the party graph;number of players;party graph average density;party graph max degree;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
P-DPOP;0;partyProblem_1548913619637;pure Nash;0.0;1;6;0.3333333333333333;3;0;63;9048;152186;891;5;0;0
DPOP;0;partyProblem_1548913621012;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13375;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913621012;pure Nash;0.0;1;7;0.2857142857142857;3;0;64;10854;180986;1072;6;infinity;infinity
DPOP;0;partyProblem_1548913622177;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913622177;pure Nash;0.0;1;2;1.0;1;0;43;1810;30490;538;2;0;0
DPOP;0;partyProblem_1548913622882;pure Nash;0.0;1;3;0.6666666666666666;2;0;31;20;4302;450;2;0;0
P-DPOP;0;partyProblem_1548913622882;pure Nash;0.0;1;3;0.6666666666666666;2;0;51;3616;59221;642;2;0;0
DPOP;0;partyProblem_1548913623708;pure Nash;0.0;1;4;0.5;2;0;31;30;6466;450;2;0;0
P-DPOP;0;partyProblem_1548913623708;pure Nash;0.0;1;4;0.5;2;0;55;5428;91523;891;5;0;0
DPOP;0;partyProblem_1548913624615;pure Nash;0.0;1;5;0.4;3;0;30;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548913624615;pure Nash;0.0;1;5;0.4;3;0;57;7238;122685;1272;6;0;0
DPOP;0;partyProblem_1548913625662;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;51;10846;450;2;0;0
P-DPOP;0;partyProblem_1548913625662;pure Nash;0.0;1;6;0.3333333333333333;3;0;64;9042;148306;665;2;0;0
DPOP;0;partyProblem_1548913626784;pure Nash;0.0;1;7;0.2857142857142857;3;0;35;63;13433;450;2;0;0
P-DPOP;0;partyProblem_1548913626784;pure Nash;0.0;1;7;0.2857142857142857;3;0;69;10850;178504;667;3;0;0
DPOP;0;partyProblem_1548913628250;pure Nash;0.0;1;2;1.0;1;0;46;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913628250;pure Nash;0.0;1;2;1.0;1;0;44;1810;30290;538;2;0;0
DPOP;0;partyProblem_1548913629019;pure Nash;0.0;1;3;0.6666666666666666;2;0;31;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913629019;pure Nash;0.0;1;3;0.6666666666666666;2;0;59;3618;60216;690;4;0;0
DPOP;0;partyProblem_1548913629886;pure Nash;0.0;1;4;0.5;2;0;41;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913629886;pure Nash;0.0;1;4;0.5;2;0;48;5430;91687;629;3;0;0
DPOP;0;partyProblem_1548913630855;pure Nash;0.0;1;5;0.4;3;0;35;40;8610;450;2;0;0
P-DPOP;0;partyProblem_1548913630855;pure Nash;0.0;1;5;0.4;3;0;64;7236;120370;790;4;0;0
DPOP;0;partyProblem_1548913632026;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;51;10834;450;2;0;0
P-DPOP;0;partyProblem_1548913632026;pure Nash;0.0;1;6;0.3333333333333333;3;0;84;9040;147596;642;2;0;0
DPOP;0;partyProblem_1548913633187;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;64;13595;450;3;0;0
P-DPOP;0;partyProblem_1548913633187;pure Nash;0.0;1;7;0.2857142857142857;3;0;66;10850;178682;642;2;0;0
DPOP;0;partyProblem_1548913634444;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913634444;pure Nash;0.0;1;2;1.0;1;0;42;1810;30344;536;2;0;0
DPOP;0;partyProblem_1548913635142;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913635142;pure Nash;0.0;1;3;0.6666666666666666;2;0;49;3618;60075;642;3;0;0
DPOP;0;partyProblem_1548913635995;pure Nash;0.0;1;4;0.5;2;0;35;30;6468;450;2;0;0
P-DPOP;0;partyProblem_1548913635995;pure Nash;0.0;1;4;0.5;2;0;51;5426;89732;642;3;0;0
DPOP;0;partyProblem_1548913636963;pure Nash;0.0;1;5;0.4;3;0;32;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548913636963;pure Nash;0.0;1;5;0.4;3;0;51;7232;118081;642;2;0;0
DPOP;0;partyProblem_1548913637971;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;50;10784;450;2;0;0
P-DPOP;0;partyProblem_1548913637971;pure Nash;0.0;1;6;0.3333333333333333;3;0;67;9044;150320;790;4;0;0
DPOP;0;partyProblem_1548913639096;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;63;13437;450;2;0;0
P-DPOP;0;partyProblem_1548913639096;pure Nash;0.0;1;7;0.2857142857142857;3;0;76;10856;184162;1472;6;0;0
DPOP;0;partyProblem_1548913640360;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913640360;pure Nash;0.0;1;2;1.0;1;0;50;1808;29472;641;2;0;0
DPOP;0;partyProblem_1548913641065;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913641065;pure Nash;0.0;1;3;0.6666666666666666;2;0;54;3618;60249;690;4;0;0
DPOP;0;partyProblem_1548913641902;pure Nash;0.0;1;4;0.5;2;0;35;30;6456;450;2;0;0
P-DPOP;0;partyProblem_1548913641902;pure Nash;0.0;1;4;0.5;2;0;51;5428;90192;641;3;0;0
