algorithm;timed out;problem instance;domain size;max degree;number of disconnected components;number of variables;target density p1;target tightness p2;true average density p1;true average tightness p2;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
AFB;0;randomMaxDisCSP_1548906693986;10;6;1;10;0.4;0.9;0.4;0.9038888888888614;26177750;2525;1444123;196515554;454;0;7;7
DPOP;0;randomMaxDisCSP_1548906693986;10;6;1;10;0.4;0.9;0.4;0.9038888888888614;352100;64;108;82875;40797;4;7;7
AFB;0;randomMaxDisCSP_1548906728842;10;5;1;10;0.4;0.99;0.4;0.9911111111110799;22062820;1697;1263574;171790357;454;0;14;14
DPOP;0;randomMaxDisCSP_1548906728842;10;5;1;10;0.4;0.99;0.4;0.9911111111110799;524100;72;108;119043;40797;4;14;14
AFB;0;randomMaxDisCSP_1548906758050;10;6;1;10;0.4;0.4;0.4;0.39777777777777235;5120;19;5900;188091;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906758050;10;6;1;10;0.4;0.4;0.4;0.39777777777777235;65100;40;108;50741;4573;3;0;0
AFB;0;randomMaxDisCSP_1548906758966;10;6;1;10;0.4;0.5;0.4;0.49888888888887906;6720;20;6049;207609;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906758966;10;6;1;10;0.4;0.5;0.4;0.49888888888887906;352100;75;108;82447;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906759966;10;6;1;10;0.4;0.6;0.4;0.6094444444444298;42020;39;7831;442016;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906759966;10;6;1;10;0.4;0.6;0.4;0.6094444444444298;534100;84;108;118671;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906761024;10;6;1;10;0.4;0.7;0.4;0.6944444444444261;89610;44;9514;671738;454;0;1;1
DPOP;0;randomMaxDisCSP_1548906761024;10;6;1;10;0.4;0.7;0.4;0.6944444444444261;272100;68;108;86555;40797;4;1;1
AFB;0;randomMaxDisCSP_1548906762143;10;6;1;10;0.4;0.8;0.4;0.7961111111110883;1375270;152;49478;5887301;454;0;3;3
DPOP;0;randomMaxDisCSP_1548906762143;10;6;1;10;0.4;0.8;0.4;0.7961111111110883;81100;60;108;46633;4573;3;3;3
AFB;0;randomMaxDisCSP_1548906764509;10;5;1;10;0.4;0.9;0.4;0.9022222222221948;11559920;714;385589;51303913;454;0;6;6
DPOP;0;randomMaxDisCSP_1548906764509;10;5;1;10;0.4;0.9;0.4;0.9022222222221948;661100;95;109;163187;40797;4;6;6
AFB;0;randomMaxDisCSP_1548906774488;10;6;1;10;0.4;0.99;0.4;0.9877777777777467;4345220;360;163892;21420011;454;0;12;12
DPOP;0;randomMaxDisCSP_1548906774488;10;6;1;10;0.4;0.99;0.4;0.9877777777777467;292100;70;108;82875;40797;4;12;12
AFB;0;randomMaxDisCSP_1548906779365;10;6;2;10;0.4;0.4;0.4;0.39999999999999447;2620;19;5766;161340;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906779365;10;6;2;10;0.4;0.4;0.4;0.39999999999999447;262100;53;104;85264;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906780292;10;6;1;10;0.4;0.5;0.4;0.5122222222222118;10210;30;6284;238302;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906780292;10;6;1;10;0.4;0.5;0.4;0.5122222222222118;164100;66;108;82875;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906781280;10;6;1;10;0.4;0.6;0.4;0.5972222222222081;18650;29;6718;294862;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906781280;10;6;1;10;0.4;0.6;0.4;0.5972222222222081;74100;36;108;46633;4573;3;0;0
AFB;0;randomMaxDisCSP_1548906782227;10;6;1;10;0.4;0.7;0.4;0.6972222222222038;178720;75;15203;1421681;454;0;1;1
DPOP;0;randomMaxDisCSP_1548906782227;10;6;1;10;0.4;0.7;0.4;0.6972222222222038;82100;43;108;46187;4573;3;1;1
AFB;0;randomMaxDisCSP_1548906783548;10;6;1;10;0.4;0.8;0.4;0.7999999999999771;383630;74;19043;1882070;454;0;3;3
DPOP;0;randomMaxDisCSP_1548906783548;10;6;1;10;0.4;0.8;0.4;0.7999999999999771;621100;79;109;195764;40797;4;3;3
AFB;0;randomMaxDisCSP_1548906785062;10;5;1;10;0.4;0.9;0.4;0.9016666666666393;4135350;363;144166;18758269;454;0;6;6
DPOP;0;randomMaxDisCSP_1548906785062;10;5;1;10;0.4;0.9;0.4;0.9016666666666393;253100;64;108;86528;40797;4;6;6
AFB;0;randomMaxDisCSP_1548906789479;10;8;1;10;0.4;0.99;0.4;0.9833333333333024;2823220;373;180975;24583935;454;0;13;13
DPOP;0;randomMaxDisCSP_1548906789479;10;8;1;10;0.4;0.99;0.4;0.9833333333333024;52200;38;108;42907;4573;3;13;13
AFB;0;randomMaxDisCSP_1548906794477;10;6;1;10;0.4;0.4;0.4;0.382777777777773;6250;21;6004;201772;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906794477;10;6;1;10;0.4;0.4;0.4;0.382777777777773;3351100;204;109;481388;402602;5;0;0
AFB;0;randomMaxDisCSP_1548906795677;10;7;1;10;0.4;0.5;0.4;0.4905555555555461;73270;47;8974;609831;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906795677;10;7;1;10;0.4;0.5;0.4;0.4905555555555461;252100;70;108;79620;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906796769;10;6;1;10;0.4;0.6;0.4;0.6199999999999849;22770;39;7824;448470;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906796769;10;6;1;10;0.4;0.6;0.4;0.6199999999999849;464100;79;108;119099;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906797844;10;6;1;10;0.4;0.7;0.4;0.6849999999999821;89540;47;9932;718171;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906797844;10;6;1;10;0.4;0.7;0.4;0.6849999999999821;102100;47;108;50247;4573;3;0;0
AFB;0;randomMaxDisCSP_1548906798943;10;6;1;10;0.4;0.8;0.4;0.7866666666666443;261380;79;20000;2018397;454;0;2;2
DPOP;0;randomMaxDisCSP_1548906798943;10;6;1;10;0.4;0.8;0.4;0.7866666666666443;46100;35;108;46615;4573;3;2;2
AFB;0;randomMaxDisCSP_1548906800353;10;5;2;10;0.4;0.9;0.4;0.9038888888888614;2569000;305;127007;15500851;454;0;7;7
DPOP;0;randomMaxDisCSP_1548906800353;10;5;2;10;0.4;0.9;0.4;0.9038888888888614;481100;72;104;161832;40797;4;7;7
AFB;0;randomMaxDisCSP_1548906804398;10;7;1;10;0.4;0.99;0.4;0.993333333333302;158070;61;19410;2011078;454;0;13;13
DPOP;0;randomMaxDisCSP_1548906804398;10;7;1;10;0.4;0.99;0.4;0.993333333333302;62100;35;108;39698;4573;3;13;13
AFB;0;randomMaxDisCSP_1548906805821;10;7;1;10;0.4;0.4;0.4;0.39944444444443894;3770;23;5826;178487;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906805821;10;7;1;10;0.4;0.4;0.4;0.39944444444443894;62100;46;108;47010;4573;3;0;0
AFB;0;randomMaxDisCSP_1548906806725;10;7;1;10;0.4;0.5;0.4;0.49722222222221246;15510;34;6667;290679;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906806725;10;7;1;10;0.4;0.5;0.4;0.49722222222221246;323100;62;109;82927;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906807770;10;6;1;10;0.4;0.6;0.4;0.5994444444444302;8380;24;6188;226535;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906807770;10;6;1;10;0.4;0.6;0.4;0.5994444444444302;652100;96;108;162719;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906808750;10;6;1;10;0.4;0.7;0.4;0.6883333333333153;796310;133;39754;4707908;454;0;2;2
DPOP;0;randomMaxDisCSP_1548906808750;10;6;1;10;0.4;0.7;0.4;0.6883333333333153;551100;79;108;122797;40797;4;2;2
AFB;0;randomMaxDisCSP_1548906810786;10;5;1;10;0.4;0.8;0.4;0.7888888888888664;299760;86;18968;1903156;454;0;2;2
DPOP;0;randomMaxDisCSP_1548906810786;10;5;1;10;0.4;0.8;0.4;0.7888888888888664;2542100;260;109;521330;402602;5;2;2
AFB;0;randomMaxDisCSP_1548906812457;10;5;1;10;0.4;0.9;0.4;0.9022222222221948;9443730;786;514349;68322270;454;0;7;7
DPOP;0;randomMaxDisCSP_1548906812457;10;5;1;10;0.4;0.9;0.4;0.9022222222221948;61100;37;109;54461;4573;3;7;7
AFB;0;randomMaxDisCSP_1548906825192;10;6;1;10;0.4;0.99;0.4;0.9922222222221909;570300;128;51699;6333253;454;0;14;14
DPOP;0;randomMaxDisCSP_1548906825192;10;6;1;10;0.4;0.99;0.4;0.9922222222221909;271100;62;108;86943;40797;4;14;14
AFB;0;randomMaxDisCSP_1548906827482;10;7;1;10;0.4;0.4;0.4;0.40999999999999404;3700;20;5880;185396;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906827482;10;7;1;10;0.4;0.4;0.4;0.40999999999999404;362100;76;108;122794;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906828423;10;6;1;10;0.4;0.5;0.4;0.5088888888888786;10460;24;6206;227969;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906828423;10;6;1;10;0.4;0.5;0.4;0.5088888888888786;74100;39;108;46633;4573;3;0;0
AFB;0;randomMaxDisCSP_1548906829326;10;5;1;10;0.4;0.6;0.4;0.6149999999999851;33080;33;7225;363159;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906829326;10;5;1;10;0.4;0.6;0.4;0.6149999999999851;721100;82;108;162644;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906830351;10;5;1;10;0.4;0.7;0.4;0.6883333333333153;142140;53;12144;1001540;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906830351;10;5;1;10;0.4;0.7;0.4;0.6883333333333153;721100;80;109;118699;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906831603;10;6;1;10;0.4;0.8;0.4;0.798888888888866;493120;112;28952;3212563;454;0;2;2
DPOP;0;randomMaxDisCSP_1548906831603;10;6;1;10;0.4;0.8;0.4;0.798888888888866;931100;98;109;154983;40797;4;2;2
AFB;0;randomMaxDisCSP_1548906833385;10;6;1;10;0.4;0.9;0.4;0.887777777777751;754280;109;34626;3929531;454;0;5;5
DPOP;0;randomMaxDisCSP_1548906833385;10;6;1;10;0.4;0.9;0.4;0.887777777777751;624100;84;108;115429;40797;4;5;5
AFB;0;randomMaxDisCSP_1548906835292;10;6;1;10;0.4;0.99;0.4;0.9883333333333022;309570;97;26862;2952322;454;0;12;12
DPOP;0;randomMaxDisCSP_1548906835292;10;6;1;10;0.4;0.99;0.4;0.9883333333333022;432100;81;108;82001;40797;4;12;12
AFB;0;randomMaxDisCSP_1548906837011;10;6;1;10;0.4;0.4;0.4;0.4127777777777717;5670;27;5883;186104;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906837011;10;6;1;10;0.4;0.4;0.4;0.4127777777777717;72100;43;108;47029;4573;3;0;0
AFB;0;randomMaxDisCSP_1548906837938;10;6;1;10;0.4;0.5;0.4;0.5127777777777673;9370;24;6250;233875;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906837938;10;6;1;10;0.4;0.5;0.4;0.5127777777777673;632100;109;108;115437;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906838963;10;6;1;10;0.4;0.6;0.4;0.60444444444443;12830;29;6494;268935;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906838963;10;6;1;10;0.4;0.6;0.4;0.60444444444443;542100;71;108;159039;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906839964;10;5;1;10;0.4;0.7;0.4;0.6911111111110929;93550;49;10375;770777;454;0;1;1
DPOP;0;randomMaxDisCSP_1548906839964;10;5;1;10;0.4;0.7;0.4;0.6911111111110929;452100;72;108;122755;40797;4;1;1
