algorithm;timed out;problem instance;max degree;number of colors;number of disconnected components;number of nodes;number of uncontrollable nodes;target density;target unary tightness;true average density;true average unary tightness;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
ADOPT;0;graphColoring_1548891943706;6;3;1;10;0;0.4;0.0;0.4;0.0;0;33;1473;84500;456;0;0;0
DPOP;0;graphColoring_1548891943706;6;3;1;10;0;0.4;0.0;0.4;0.0;0;27;110;29683;680;3;0;0
ADOPT;0;graphColoring_1548891944513;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;21;14;2184;456;0;0;0
DPOP;0;graphColoring_1548891944513;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;23;8;1897;417;1;0;0
ADOPT;0;graphColoring_1548891945076;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;24;32;4474;456;0;0;0
DPOP;0;graphColoring_1548891945076;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;22;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548891945651;3;3;1;5;0;0.4;0.0;0.4;0.0;0;27;85;9614;456;0;0;0
DPOP;0;graphColoring_1548891945651;3;3;1;5;0;0.4;0.0;0.4;0.0;0;26;32;7617;417;1;0;0
ADOPT;0;graphColoring_1548891946251;4;3;1;6;0;0.4;0.0;0.4;0.0;0;28;150;14646;456;0;0;0
DPOP;0;graphColoring_1548891946251;4;3;1;6;0;0.4;0.0;0.4;0.0;0;29;44;10819;475;2;0;0
ADOPT;0;graphColoring_1548891946895;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;32;255;21047;456;0;0;0
DPOP;0;graphColoring_1548891946895;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;24;56;14014;475;2;0;0
ADOPT;0;graphColoring_1548891947545;5;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;31;484;33789;456;0;0;0
DPOP;0;graphColoring_1548891947545;5;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;26;68;18175;728;3;0;0
ADOPT;0;graphColoring_1548891948249;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;40;1189;69340;456;0;infinity;infinity
DPOP;0;graphColoring_1548891948249;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;30;88;24463;1449;4;infinity;infinity
ADOPT;0;graphColoring_1548891949027;6;3;1;10;0;0.4;0.0;0.4;0.0;0;38;1787;97889;456;0;0;0
DPOP;0;graphColoring_1548891949027;6;3;1;10;0;0.4;0.0;0.4;0.0;0;28;108;30064;1255;4;0;0
ADOPT;0;graphColoring_1548891949869;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;25;14;2184;456;0;0;0
DPOP;0;graphColoring_1548891949869;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;20;8;1897;417;1;0;0
ADOPT;0;graphColoring_1548891950434;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;14;28;4368;456;0;0;0
DPOP;0;graphColoring_1548891950434;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;16;16;3798;417;1;0;0
ADOPT;0;graphColoring_1548891951012;3;3;2;5;0;0.4;0.0;0.4;0.0;0;21;80;8991;456;0;0;0
DPOP;0;graphColoring_1548891951012;3;3;2;5;0;0.4;0.0;0.4;0.0;0;24;28;7010;475;2;0;0
ADOPT;0;graphColoring_1548891951625;3;3;1;6;0;0.4;0.0;0.4;0.0;0;27;141;14584;456;0;0;0
DPOP;0;graphColoring_1548891951625;3;3;1;6;0;0.4;0.0;0.4;0.0;0;25;44;10928;473;2;0;0
ADOPT;0;graphColoring_1548891952268;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;27;220;20404;456;0;0;0
DPOP;0;graphColoring_1548891952268;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;25;57;14308;475;2;0;0
ADOPT;0;graphColoring_1548891952984;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;33;376;30376;456;0;0;0
DPOP;0;graphColoring_1548891952984;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;28;72;18641;475;2;0;0
ADOPT;0;graphColoring_1548891953698;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;35;1076;63764;456;0;0;0
DPOP;0;graphColoring_1548891953698;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;28;88;24424;1351;4;0;0
ADOPT;0;graphColoring_1548891954498;5;3;1;10;0;0.4;0.0;0.4;0.0;0;38;2716;137061;456;0;infinity;infinity
DPOP;0;graphColoring_1548891954498;5;3;1;10;0;0.4;0.0;0.4;0.0;0;29;108;30138;728;3;infinity;infinity
ADOPT;0;graphColoring_1548891955372;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;29;14;2184;456;0;0;0
DPOP;0;graphColoring_1548891955372;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;26;8;1901;417;1;0;0
ADOPT;0;graphColoring_1548891955979;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;30;32;4474;456;0;0;0
DPOP;0;graphColoring_1548891955979;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548891956604;3;3;1;5;0;0.4;0.0;0.4;0.0;0;26;85;9614;456;0;0;0
DPOP;0;graphColoring_1548891956604;3;3;1;5;0;0.4;0.0;0.4;0.0;0;27;32;7617;417;1;0;0
ADOPT;0;graphColoring_1548891957210;4;3;2;6;0;0.4;0.0;0.4;0.0;0;32;135;13690;456;0;0;0
DPOP;0;graphColoring_1548891957210;4;3;2;6;0;0.4;0.0;0.4;0.0;0;21;40;10212;475;2;0;0
ADOPT;0;graphColoring_1548891957853;5;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;29;260;21360;456;0;0;0
DPOP;0;graphColoring_1548891957853;5;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;26;56;14025;475;2;0;0
ADOPT;0;graphColoring_1548891958533;5;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;26;364;29067;456;0;0;0
DPOP;0;graphColoring_1548891958533;5;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;24;68;18252;680;3;0;0
ADOPT;0;graphColoring_1548891959265;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;-1;0;0;0;0;0;0;infinity
DPOP;0;graphColoring_1548891959265;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;27;88;24529;1449;4;0;0
ADOPT;0;graphColoring_1548891960020;7;3;1;10;0;0.4;0.0;0.4;0.0;0;32;1007;63342;456;0;0;0
DPOP;0;graphColoring_1548891960020;7;3;1;10;0;0.4;0.0;0.4;0.0;0;28;109;29751;728;3;0;0
ADOPT;0;graphColoring_1548891960841;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;30;14;2184;456;0;0;0
DPOP;0;graphColoring_1548891960841;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;23;8;1897;417;1;0;0
ADOPT;0;graphColoring_1548891961409;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;18;28;4368;456;0;0;0
DPOP;0;graphColoring_1548891961409;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;15;16;3800;417;1;0;0
ADOPT;0;graphColoring_1548891962003;2;3;1;5;0;0.4;0.0;0.4;0.0;0;23;92;10064;456;0;0;0
DPOP;0;graphColoring_1548891962003;2;3;1;5;0;0.4;0.0;0.4;0.0;0;26;36;7814;417;1;0;0
ADOPT;0;graphColoring_1548891962609;3;3;1;6;0;0.4;0.0;0.4;0.0;0;26;153;14896;456;0;0;0
DPOP;0;graphColoring_1548891962609;3;3;1;6;0;0.4;0.0;0.4;0.0;0;29;45;10854;475;2;0;0
